Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code	Value Set Code	Value Set Version
45001	Abbeville	Abbeville, SC		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
22001	Acadia	Acadia, LA		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
51001	Accomack	Accomack, VA		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
16001	Ada	Ada, ID		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
21001	Adair	Adair, KY		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
19001	Adair	Adair, IA		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
29001	Adair	Adair, MO		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
40001	Adair	Adair, OK		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
38001	Adams	Adams, ND		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
39001	Adams	Adams, OH		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
31001	Adams	Adams, NE		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
42001	Adams	Adams, PA		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
19003	Adams	Adams, IA		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
28001	Adams	Adams, MS		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
16003	Adams	Adams, ID		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
17001	Adams	Adams, IL		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
18001	Adams	Adams, IN		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
08001	Adams	Adams, CO		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
53001	Adams	Adams, WA		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
55001	Adams	Adams, WI		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
50001	Addison	Addison, VT		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
72001	Adjuntas	Adjuntas, PR		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
72003	Aguada	Aguada, PR		2.16.840.1.113883.6.93	FIPS 6-4 (County)	PH_County_FIPS_6-4	20080815	FIPS6_4	PHVS_County_FIPS_6-4	1
